objectid,loc,district,idesigdate1,idesigdate2,ddesigdate,intdesigdate
115,3 N Chris Columbus Blvd,OC,,,12/12/2003,
116,3 N Chris Columbus Blvd,OC,,,12/12/2003,
117,3 N Chris Columbus Blvd,OC,,,12/12/2003,
118,3 N Chris Columbus Blvd,OC,,,12/12/2003,
119,3 N Chris Columbus Blvd,OC,,,12/12/2003,
120,3 N Chris Columbus Blvd,OC,,,12/12/2003,
121,3 N Chris Columbus Blvd,OC,,,12/12/2003,
122,3 N Chris Columbus Blvd,OC,,,12/12/2003,
123,3 N Chris Columbus Blvd,OC,,,12/12/2003,
124,3 N Chris Columbus Blvd,OC,,,12/12/2003,
125,3 N Chris Columbus Blvd,OC,,,12/12/2003,
126,3 N Chris Columbus Blvd,OC,,,12/12/2003,
127,3 N Chris Columbus Blvd,OC,,,12/12/2003,
128,3 N Chris Columbus Blvd,OC,,,12/12/2003,
129,3 N Chris Columbus Blvd,OC,,,12/12/2003,
130,3 N Chris Columbus Blvd,OC,,,12/12/2003,
131,3 N Chris Columbus Blvd,OC,,,12/12/2003,
132,3 N Chris Columbus Blvd,OC,,,12/12/2003,
133,3 N Chris Columbus Blvd,OC,,,12/12/2003,
134,3 N Chris Columbus Blvd,OC,,,12/12/2003,
135,3 N Chris Columbus Blvd,OC,,,12/12/2003,
25,3500 BARING ST,,3/10/2017,,,
136,3 N Chris Columbus Blvd,OC,,,12/12/2003,
137,3 N Chris Columbus Blvd,OC,,,12/12/2003,
138,3 N Chris Columbus Blvd,OC,,,12/12/2003,
139,3 N Chris Columbus Blvd,OC,,,12/12/2003,
140,3 N Chris Columbus Blvd,OC,,,12/12/2003,
1,30 W CHESTNUT HILL AVE,,1/1/3000,,,
2,428 S 42ND ST,420 Row,,,1/13/2017,
3,4101-05 LUDLOW ST,,2/10/2017,,,
4,424 S 42ND ST,420 Row,,,1/13/2017,
5,10725 KNIGHTS RD,,1/13/2017,,,
6,3504 BARING ST,,3/10/2017,,,
7,3504 BARING ST,,3/10/2017,,,
8,430 S 42ND ST,420 Row,,,1/13/2017,
9,420 S 42ND ST,420 Row,,,1/13/2017,
10,426 S 42ND ST,420 Row,,,1/13/2017,
11,2041-55 CORAL ST,,1/1/3000,,,
12,1642 FITZWATER ST,,1/1/3000,,,
13,432 S 42ND ST,420 Row,,,1/13/2017,
14,704 SANSOM ST,,1/1/3000,,,
15,22-26 S 40TH ST,,1/13/2017,,,
16,228 RICHMOND ST,,1/1/3000,,,
17,227 E ALLEN ST,,1/1/3000,,,
18,422 S 42ND ST,420 Row,,,1/13/2017,
19,5250 WAYNE AVE,,1/13/2017,,,
20,434 S 42ND ST,420 Row,,,1/13/2017,
21,8330 MILLMAN ST,,11/10/2016,,,
22,435-41 N 38TH ST,,1/13/2017,,,
23,1114-50 S 5TH ST,,3/10/2017,,,
24,111 E TABOR RD,,3/10/2017,,,
26,100 S INDEPENDENCE W Mall,,1/1/3000,,,1/1/3000
27,400 WASHINGTON AVE,,3/10/2017,,,
28,5129-35 FRANKFORD AVE,,11/10/2016,,,
29,401-11 S BROAD ST,,5/12/2017,,,
30,1647-57 N 3RD ST,,3/10/2017,,,
31,516 WHARTON ST,,3/10/2017,,,
32,3827-33 POWELTON AVE,,1/13/2017,,,
33,706 SANSOM ST,,1/1/3000,,,
34,559 RIGHTER ST,,4/13/2017,,,
35,2101 W CLARKSON AVE,,2/10/2017,,,
36,81-95 FAIRMOUNT AVE,,11/10/2016,,,
37,48-62 E PENN ST,,11/10/2016,,,
38,201 E TABOR RD,,3/10/2017,,,
39,2117 E YORK ST,,1/1/3000,,,
40,1701 LINDLEY AVE,,2/10/2017,,,
41,3514-30 LANCASTER AVE,,11/10/2016,,,
42,3500-10 LANCASTER AVE,,5/12/2017,,,
43,147 SUMAC ST,,1/1/3000,,,
44,145 SUMAC ST,,1/1/3000,,,
45,509-13 DIAMOND ST,,3/10/2017,,,
46,10751 KNIGHTS RD,,1/13/2017,,,
47,401 E Evergreen Ave,,1/7/1982,,,
48,8605 Prospect Ave,,1/7/1982,,,
49,8601 Prospect Ave,,1/7/1982,,,
50,8607 Prospect Ave,,1/7/1982,,,
51,1108 Lombard St,,7/23/1963,,,
52,1108R Lombard St,,7/23/1963,,,
53,1117 Rodman St,,7/23/1963,,,
54,1119 Rodman St,,7/23/1963,,,
55,1121 Rodman St,,7/23/1963,,,
56,1123 Rodman St,,7/23/1963,,,
57,1125 Rodman St,,7/23/1963,,,
58,1127 Rodman St,,7/23/1963,,,
59,1129 Rodman St,,7/23/1963,,,
60,1109 Rodman St,,7/23/1963,,,
61,1111 Rodman St,,7/23/1963,,,
62,1129 Rodman St,,7/23/1963,,,
63,1123 Rodman St,,7/23/1963,,,
64,1121 Rodman St,,7/23/1963,,,
65,1119 Rodman St,,7/23/1963,,,
66,1117 Rodman St,,7/23/1963,,,
67,1111 Rodman St,,7/23/1963,,,
68,1127 Rodman St,,7/23/1963,,,
69,1125 Rodman St,,7/23/1963,,,
70,1109 Rodman St,,7/23/1963,,,
